0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
6,0
6,0
6,1
6,0
6,3
6,0
6,0
7,3
7,2
7,15
7,30
7,33
7,29
7,36
8,0
8,1
8,40
8,45
8,55
8,45
8,39
9,3
9,1
9,51
9,49
9,30
9,44
9,39
10,0
10,0
10,40
10,45
10,35
10,47
10,44
11,3
11,0
11,44
11,39
11,36
11,47
11,50
12,1
12,0
12,10
12,4
12,2
12,8
12,4
13,0
13,2
13,10
13,15
13,23
13,14
13,24
14,0
14,2
14,37
14,48
14,20
14,36
14,30
15,1
15,0
15,39
15,45
15,55
15,39
15,42
16,0
16,0
16,30
16,27
16,19
16,38
16,25
17,0
17,1
17,30
17,19
17,28
17,29
17,27
18,0
18,0
18,5
18,4
18,10
18,11
18,8
19,0
19,34
19,37
19,34
19,35
19,42
19,1
20,0
20,35
20,29
20,35
20,37
20,34
20,0
21,0
21,5
21,6
21,10
21,2
21,3
21,1
22,0
22,0
22,1
22,1
22,3
22,1
22,1
23,0
23,0
23,0
23,1
23,1
23,0
23,1
